Количество узлов подверженных отказу,Правильно угадано отказавших узлов,Неправильно угадано отказавших узлов,Среднее время восстановления,Общее время работы
0,0,0,0,9.15141
5,100,0,0.674315,9.18029
10,100,0,0.833452,9.11647
15,100,0,0.777372,9.23886
20,100,0,0.814909,9.33953
25,100,0,0.829937,9.46232
30,100,0,0.846971,9.73402
35,100,0,0.870938,9.42141
40,100,0,0.902065,9.90015
45,100,0,0.935465,9.75487
50,100,0,0.963214,10.1135
55,100,0,0.998429,9.93986
60,100,0,1.02869,10.5479
65,100,0,1.053,10.5399
70,100,0,1.09352,10.8491
75,100,0,1.12588,10.7084
80,100,0,1.14955,10.8948
85,100,0,1.18846,10.8978
90,100,0,1.22273,10.9625
95,100,0,1.25567,11.1406
