Количество узлов подверженных отказу,Правильно угадано отказавших узлов,Неправильно угадано отказавших узлов,Среднее время восстановления,Общее время работы
0,0,100,0,13.8361
5,60,40,0.812348,13.9445
10,75.7576,24.2424,0.937536,13.8659
15,82.6087,17.3913,0.933056,14.427
20,86.4407,13.5593,0.935482,14.5443
25,90,10,0.93762,14.4797
30,90.4762,9.52381,0.920283,14.5792
35,91.7526,8.24742,0.930823,14.5225
40,93.578,6.42202,0.9809,14.6056
45,93.4426,6.55738,0.985114,14.5916
50,94.0741,5.92593,1.00796,14.8254
55,94.5946,5.40541,1.03166,14.8144
60,95.0311,4.96894,1.09946,15.4238
65,95.3757,4.62428,1.10345,15.46
70,95.6989,4.30108,1.15166,15.7926
75,95.9799,4.0201,1.15848,15.4904
80,96.2264,3.77358,1.18859,15.861
85,96.4286,3.57143,1.20561,15.7632
90,96.6245,3.37553,1.23534,15.8009
95,97.1888,2.81124,1.24297,15.8608
