Количество узлов подверженных отказу,Правильно угадано отказавших узлов,Неправильно угадано отказавших узлов,Среднее время восстановления,Общее время работы
0,0,0,0,9.60788
5,100,0,0.409022,9.70266
10,100,0,0.457428,9.77252
15,100,0,0.526216,9.83792
20,100,0,0.574779,9.86237
25,100,0,0.649256,9.98997
30,100,0,0.678421,10.0877
35,100,0,0.709225,10.1401
40,100,0,0.754266,10.0877
45,100,0,0.806173,10.2823
50,100,0,0.851331,10.273
55,100,0,0.88814,10.489
60,100,0,0.934886,10.5767
65,100,0,0.974394,10.498
70,100,0,1.00638,10.8452
75,100,0,1.05769,10.6933
80,100,0,1.10291,10.7863
85,100,0,1.15076,11.0258
90,100,0,1.18981,11.0235
95,100,0,1.22564,11.1716
