Количество узлов подверженных отказу,Правильно угадано отказавших узлов,Неправильно угадано отказавших узлов,Среднее время восстановления,Общее время работы
0,0,0,0,9.00571
5,6.38298,93.617,0.520272,8.91937
10,10.7759,89.2241,0.52793,9.39925
15,16.2393,83.7607,0.531137,9.49298
20,20.4,79.6,0.525957,9.59264
25,20.6557,79.3443,0.556542,9.50987
30,22.4189,77.5811,0.581407,10.0269
35,25.4286,74.5714,0.569911,9.92993
40,26.087,73.913,0.646335,9.95518
45,30.1587,69.8413,0.661551,9.99092
50,30.4556,69.5444,0.748084,10.0758
55,33.7349,66.2651,0.75032,10.4329
60,31.2883,68.7117,0.834894,10.3228
65,33.5366,66.4634,0.875951,10.5386
70,37.9531,62.0469,0.934578,10.4384
75,35.436,64.564,1.08877,10.9256
80,36.9565,63.0435,1.212,10.9707
85,43.3735,56.6265,1.33881,11.2444
90,39.4148,60.5852,1.55189,11.6013
95,41.5385,58.4615,1.99557,11.905
