Количество узлов подверженных отказу,Правильно угадано отказавших узлов,Неправильно угадано отказавших узлов,Среднее время восстановления,Общее время работы
0,0,0,0,14.5818
5,10.1695,89.8305,0.584359,14.9406
10,12.0192,87.9808,0.543361,15.0542
15,16.2393,83.7607,0.555646,14.8718
20,20,80,0.556926,14.9498
25,20.1923,79.8077,0.613586,14.9617
30,25.0825,74.9175,0.597278,15.0368
35,24.5856,75.4144,0.631589,15.2831
40,25.5639,74.4361,0.666383,15.4365
45,29.0076,70.9924,0.69527,15.5077
50,32.0707,67.9293,0.709604,15.6322
55,33.9806,66.0194,0.791505,15.3389
60,34.0757,65.9243,0.835111,15.5856
65,33.5366,66.4634,0.929891,15.965
70,37.8723,62.1277,0.979448,15.9906
75,38.7097,61.2903,1.07288,16.0425
80,38.7833,61.2167,1.20583,16.1054
85,43.0279,56.9721,1.35515,16.2851
90,40.035,59.965,1.57002,16.6213
95,42.3143,57.6857,1.98345,17.1218
