Количество узлов подверженных отказу,Правильно угадано отказавших узлов,Неправильно угадано отказавших узлов,Среднее время восстановления,Общее время работы
0,0,0,0,9.65874
5,7.10059,92.8994,0.529568,10.0085
10,11.0132,88.9868,0.531552,10.1685
15,16.0338,83.9662,0.533368,10.0449
20,20.5645,79.4355,0.539252,10.1853
25,21.6495,78.3505,0.564977,10.1291
30,22.619,77.381,0.580182,10.5826
35,22.5888,77.4112,0.61312,10.5083
40,26.0204,73.9796,0.653907,10.5309
45,27.9412,72.0588,0.687084,10.9261
50,31.5136,68.4864,0.711249,10.7011
55,29.4118,70.5882,0.7734,10.8537
60,31.3646,68.6354,0.832486,11.0685
65,34.0206,65.9794,0.895504,11.1699
70,34.6979,65.3021,0.956611,11.1456
75,35.1103,64.8897,1.10807,11.4984
80,38.1308,61.8692,1.19136,11.5523
85,40.6015,59.3985,1.3435,11.8395
90,40.493,59.507,1.57038,11.8014
95,42.3077,57.6923,1.97716,12.6608
