Количество узлов подверженных отказу,Правильно угадано отказавших узлов,Неправильно угадано отказавших узлов,Среднее время восстановления,Общее время работы
0,0,0,0,13.9752
5,8.69565,91.3043,0.533514,14.1314
10,11.1607,88.8393,0.54989,14.14
15,15.2,84.8,0.569409,14.3741
20,21.25,78.75,0.547475,14.2523
25,25.2,74.8,0.559338,14.1975
30,23.1707,76.8293,0.616393,14.1856
35,29.8658,70.1342,0.57838,14.5863
40,27.8689,72.1311,0.656994,14.5634
45,29.0076,70.9924,0.680455,14.6731
50,31.2808,68.7192,0.723388,14.6981
55,30.303,69.697,0.813458,14.9161
60,36.0849,63.9151,0.835859,14.8748
65,34.2324,65.7676,0.886857,15.1784
70,38.6117,61.3883,0.956328,15.1606
75,39.7917,60.2083,1.07388,15.5874
80,38.6364,61.3636,1.21671,15.8063
85,41.5385,58.4615,1.35961,15.8717
90,40.035,59.965,1.56229,16.2528
95,43.2916,56.7084,2.04808,16.3551
